probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YBR052C	1.099922e+01	1.108689e+01	1.083906e+01	8.421199e+00	8.521201e+00	7.625622e+00	5.777906e+00	4.968727e+00	8.363651e+00	8.889207e+00	7.198770e+00	7.642147e+00	
YBR054W	1.195903e+00	2.621904e+00	7.757236e+00	2.073500e+01	2.338403e+01	2.576771e+01	2.136584e+01	1.695236e+01	4.571880e+00	5.299671e+00	3.474970e+00	1.722666e+00	
YBR057C	1.874785e+00	2.918540e+00	4.356130e+00	3.423558e+00	2.856081e+00	3.159822e+00	2.501681e+00	2.672119e+00	1.833982e+00	1.743954e+00	1.633601e+00	1.898650e+00	
YBR059C	2.670757e+00	4.101731e+00	4.701133e+00	4.229015e+00	3.926645e+00	4.100394e+00	3.955534e+00	2.464146e+00	2.120614e+00	2.759492e+00	1.981172e+00	2.343917e+00	
YBR060C	9.792652e-01	1.078387e+00	1.308915e+00	1.082825e+00	1.054145e+00	1.355593e+00	1.261985e+00	2.282041e+00	1.570268e+00	1.763259e+00	1.452806e+00	1.527311e+00	
YBR064W	1.190371e-01	1.623337e-01	1.844644e-01	2.147094e-01	1.741299e-01	1.652079e-01	1.750244e-01	2.212612e-01	1.545827e-01	9.895054e-02	7.608631e-02	8.723390e-02	
YBR065C	1.547344e-01	1.915239e-01	3.256133e-01	2.586793e-01	2.166078e-01	3.190106e-01	3.738035e-01	1.112537e+00	2.975084e-01	2.546511e-01	1.859283e-01	1.879964e-01	
YBR066C	2.746073e+00	1.151058e+00	1.194341e+00	1.296811e+00	1.484964e+00	1.722464e+00	1.736214e+00	2.443319e+00	4.764547e+00	3.416403e+00	2.476163e+00	2.609800e+00	
YBR067C	5.775204e+01	8.751914e+01	8.758221e+01	8.015097e+01	8.038253e+01	6.378722e+01	7.097144e+01	6.453726e+01	4.017355e+01	3.484288e+01	3.493674e+01	2.625264e+01	
YBR068C	1.154009e+01	1.333897e+01	1.234105e+01	9.617646e+00	9.822263e+00	9.038595e+00	1.003616e+01	1.460380e+01	8.828242e+00	7.962642e+00	7.881587e+00	8.374088e+00	
YBR069C	2.715510e-01	2.129163e-01	2.600136e-01	1.651647e-01	2.152200e-01	1.254457e-01	1.535553e-01	6.735547e-01	2.501414e-01	1.180291e-01	1.154534e-01	1.380080e-01	
YBR070C	1.436006e+00	1.797786e+00	1.430597e+00	9.713868e-01	1.010270e+00	8.212604e-01	7.278872e-01	6.134701e-01	1.759834e+00	2.834000e+00	1.889262e+00	1.557004e+00	
YBR072W	1.440488e+01	5.287287e+01	5.681662e+01	5.305938e+01	4.861482e+01	4.350905e+01	4.712862e+01	3.794515e+01	1.785812e+01	2.087455e+01	2.368878e+01	1.269171e+01	
YBR073W	7.715993e-01	6.753727e-01	5.974015e-01	4.781516e-01	5.229885e-01	4.705282e-01	4.695894e-01	4.172879e-01	6.104251e-01	8.747662e-01	8.271484e-01	8.530333e-01	
YBR074W	6.410875e-01	3.966186e-01	5.326304e-01	4.405775e-01	5.239835e-01	5.104038e-01	5.903287e-01	1.175053e+00	1.279370e+00	9.790065e-01	6.711721e-01	7.065082e-01	
YBR077C	3.555725e+00	4.713025e+00	4.918380e+00	4.625119e+00	4.647018e+00	4.815071e+00	4.417683e+00	3.475512e+00	3.734591e+00	2.916600e+00	2.582385e+00	2.934801e+00	
YBR078W	3.589777e+01	2.209680e+01	2.258374e+01	1.726186e+01	1.296727e+01	9.049343e+00	1.226317e+01	2.635091e+01	4.164251e+01	3.085305e+01	3.266169e+01	3.213107e+01	
YBR079C	4.084368e+00	2.326440e+00	3.066580e+00	3.171507e+00	3.213059e+00	3.015378e+00	3.996167e+00	8.419687e+00	1.384962e+01	6.104431e+00	4.530306e+00	5.265219e+00	
YBR080C	2.512749e+00	2.243364e+00	2.394993e+00	2.426096e+00	2.032245e+00	2.252906e+00	2.382246e+00	2.078103e+00	4.473011e+00	3.398839e+00	2.652262e+00	2.896283e+00	
YBR082C	1.115976e+01	1.198260e+01	1.091235e+01	1.253191e+01	1.301033e+01	1.390694e+01	1.435666e+01	1.849697e+01	2.263234e+01	1.510940e+01	1.162198e+01	1.220295e+01	
YBR083W	4.936293e+00	6.988220e+00	5.150726e+00	3.547865e+00	3.852259e+00	3.751691e+00	3.860513e+00	2.954882e+00	5.720613e+00	2.426625e+00	1.945253e+00	2.301317e+00	
YBR085W	1.415027e-01	1.206977e-01	1.483646e-01	7.880680e-02	7.675015e-02	2.457427e-02	5.049665e-02	5.223297e-01	2.277646e-01	1.610360e-01	2.123851e-01	2.013365e-01	
YBR087W	1.085289e+00	7.385395e-01	1.442890e+00	1.309172e+00	1.047932e+00	1.331582e+00	9.828675e-01	1.525448e+00	2.054983e+00	2.351403e+00	2.291771e+00	2.000897e+00	
YBR088C	1.594842e+00	9.345479e-01	1.151795e+00	9.059132e-01	6.094079e-01	6.266258e-01	9.390985e-01	5.751291e-01	2.379132e+00	4.757538e+00	3.527602e+00	2.665054e+00	
YBR090C	1.237532e+01	2.102960e+01	2.157591e+01	1.690789e+01	1.473685e+01	1.415220e+01	1.207844e+01	8.818364e+00	7.738343e+00	8.669251e+00	9.476788e+00	1.171612e+01	
YBR091C	2.602514e+00	1.529508e+00	1.324301e+00	1.182600e+00	1.060516e+00	1.218637e+00	1.181432e+00	1.882144e+00	3.069323e+00	3.121843e+00	3.030278e+00	2.864641e+00	
YBR094W	1.925541e+00	1.991788e+00	2.467499e+00	2.536602e+00	2.315883e+00	2.644697e+00	2.674886e+00	1.880339e+00	9.416577e-01	1.334697e+00	1.551820e+00	1.661184e+00	
YBR101C	1.048656e+01	1.373618e+01	1.958549e+01	2.340700e+01	2.609877e+01	2.381589e+01	2.596945e+01	1.703741e+01	1.597920e+01	1.295231e+01	1.183523e+01	1.053572e+01	
YBR103W	5.055593e+00	4.331902e+00	4.294923e+00	3.597249e+00	3.834035e+00	3.325100e+00	3.784636e+00	3.233650e+00	2.291012e+00	3.349832e+00	3.942758e+00	3.940078e+00	
YBR105C	8.738442e-01	9.147778e-01	8.333335e-01	9.271338e-01	9.841824e-01	1.374276e+00	2.739572e+00	1.217547e+01	2.665873e+00	1.191767e+00	1.185707e+00	1.056846e+00	
YBR106W	1.683642e+01	9.251544e+00	1.189874e+01	1.106585e+01	1.186941e+01	1.268651e+01	1.596515e+01	2.907430e+01	3.167710e+01	2.270990e+01	2.086012e+01	1.944188e+01	
YBR108W	7.702629e-01	1.166430e+00	9.728968e-01	9.401964e-01	8.547435e-01	7.491308e-01	7.679043e-01	4.096768e-01	7.000161e-01	5.629159e-01	4.658558e-01	4.871823e-01	
